date,open,high,low,close,volume
2020-12-17,22913.150390625,22960.5,22835.400390625,22892.25,0
2020-12-18,23173.150390625,23416.5,23148.5,23256.599609375,0
2020-12-21,23233.5,23506.69921875,22458.150390625,22844.599609375,0
2020-12-22,22921.849609375,23680.900390625,22745.25,23611.599609375,0
2020-12-23,23787.80078125,24228.80078125,23758.400390625,24167.75,0
2020-12-24,24163.19921875,24163.19921875,23828.05078125,24009.25,0
2020-12-28,24065.400390625,24192.05078125,24037.80078125,24100.30078125,0
2020-12-29,24093.05078125,24424.19921875,24090.30078125,24274.05078125,0
2020-12-30,24312.5,24394.75,24176.25,24330.05078125,0
2020-12-31,24255.94921875,24295.19921875,24137.80078125,24251.349609375,0
2021-01-04,24612.05078125,25158.849609375,24508.94921875,25110.05078125,0
2021-01-05,25057.650390625,25824.150390625,25029.849609375,25769.150390625,0
2021-01-06,25841.30078125,26036.69921875,25240.5,25419.150390625,0
2021-01-07,25692.05078125,25702.30078125,25131.900390625,25251.19921875,0
2021-01-08,25558.30078125,26227.5,25523.75,26162.400390625,0
2021-01-11,26703.19921875,27095.75,26528.0,27027.75,0
2021-01-12,27008.0,27127.25,26805.0,26982.099609375,0
2021-01-13,27077.69921875,27103.900390625,26737.400390625,27004.30078125,0
2021-01-14,26804.650390625,27176.5,26245.099609375,26965.55078125,0
2021-01-15,26939.69921875,27037.650390625,26301.400390625,26362.80078125,0
2021-01-18,26395.599609375,26423.599609375,25830.400390625,25916.25,54400
2021-01-19,26080.099609375,26254.05078125,25987.30078125,26043.5,41600
2021-01-20,26147.19921875,26758.099609375,26142.94921875,26619.69921875,0
2021-01-21,26808.5,26872.94921875,26321.80078125,26450.150390625,0
2021-01-22,26316.55078125,26667.55078125,26292.80078125,26489.75,0
2021-01-25,26607.650390625,26685.80078125,25911.80078125,26023.30078125,0
2021-01-27,26073.099609375,26236.55078125,25628.69921875,25865.30078125,0
2021-01-28,25639.900390625,25807.650390625,25239.69921875,25301.25,0
2021-01-29,25516.80078125,25539.849609375,24559.650390625,24645.75,0
2021-02-01,24709.25,25139.150390625,24308.900390625,24922.69921875,0
2021-02-02,25277.44921875,25574.75,25107.19921875,25447.80078125,38500
2021-02-03,25590.05078125,25949.69921875,25341.400390625,25680.900390625,35500
2021-02-04,25749.69921875,25862.5,25505.25,25570.05078125,0
2021-02-05,25689.69921875,25733.5,25188.400390625,25331.599609375,0
2021-02-08,25588.5,26028.0,25415.94921875,25915.599609375,0
2021-02-09,25933.80078125,26301.19921875,25659.900390625,25779.150390625,0
2021-02-10,25779.900390625,25941.05078125,25570.19921875,25885.30078125,0
2021-02-11,25860.849609375,26080.150390625,25795.849609375,26043.44921875,0
2021-02-12,26111.80078125,26455.05078125,26012.25,26093.80078125,0
2021-02-15,26243.099609375,26279.30078125,25959.099609375,26001.099609375,0
2021-02-16,26130.400390625,26167.849609375,25519.94921875,25613.94921875,0
2021-02-17,25610.400390625,25672.25,25234.69921875,25282.94921875,0
2021-02-18,25270.94921875,25686.849609375,25262.650390625,25618.55078125,0
2021-02-19,25634.94921875,25676.0,25292.650390625,25503.19921875,0
2021-02-22,25579.75,25617.349609375,24646.44921875,24766.44921875,0
2021-02-23,24933.69921875,25199.599609375,24709.150390625,24807.80078125,0
